NAME,type,EIQ,FRAC group code,HRAC group code,IRAC group code,notes
"1,2,3-Propanetriol, Dimethylbenzenesulfonic acid, sodium salt and alkyl phenol e",adjuvant,,,,,
"1,3-dichloropropene",fumigant,27.75,,,8A,
"1,4-Dimethylnaphthalene",pgr,,,,,
1-methylcyclopropene,pgr,,,,,
1-Naphthaleneacetic acid,pgr,17.77,,,,
1-Octanol,pgr,,,,,
1-octyl-2-pyrrolidone,adjuvant,,,,,
"2, 6-Diisopropylnaphthalene",pgr,,,,,
"2,6-Dichloro-4-nitroaniline",fungicide,23.67333,14,,,
2-ethylhexyl ester,herbicide,15.33333333,,O,,
"2-Hydroxy-1,2,3-propanetricarboxylic Acid",adjuvant,,,,,
3-decen-2-one,pgr,,,,,
3-Indolebutyric acid,pgr,,,,,
Abamectin,insecticide,34.68333333,,,6,"nematicide, acaricide"
Acetamiprid,insecticide,28.73333333,,,4A,
Aclonifen,herbicide,22.9167,,32,,
Actrobacter Globiformis,adjuvant,0,,,,
Afidopyropen,insecticide,11.17,,,9D,
Akyl Polyglycol Ether,adjuvant,,,,,
alcohol ethoxylate,adjuvant,,,,,
Aldicarb,insecticide,38.66666667,,,1A,nematicide
Algae,adjuvant,0,,,,
aliphatic alcohol ethoxylate,adjuvant,,,,,
Aliphatic Hydrocarbons,adjuvant,,,,,
alkoxylated alcohol,adjuvant,,,,,
Alkoxylated alcohols (EAC 1),adjuvant,,,,,
alkoxylated alkyl polyglucoside,adjuvant,,,,,
Alkoxylated Fatt,adjuvant,,,,,
Alkoxylated Fatty Amine,adjuvant,,,,,
Alkoxylated polyols,adjuvant,,,,,
alkoxylated soybean triglycerid,adjuvant,,,,,
Alkoxylated Tallow Amine,adjuvant,,,,,
alkoxylated triglycerides,adjuvant,,,,,
Alkyl amine ethoxylate,adjuvant,,,,,
Alkyl Aryl Polyethoxy Ethanol,adjuvant,,,,,
Alkyl Aryl Polyoxylkane,adjuvant,,,,,
Alkyl Ethoxylate,adjuvant,,,,,
Alkyl Phenol Ethoxylate,adjuvant,,,,,
Alkyl PolyGlucoside,adjuvant,,,,,
Alkyl Pyrrolidones,adjuvant,,,,,
Alkylamine Ethoxylate Propoxylate,adjuvant,,,,,
Alkylarylpolyoxyethylene glycols,adjuvant,,,,,
"Alkylarylpolyoxyethylene glycols, free fatty acids and IPA",adjuvant,,,,,
Alkylphenyl Hydroxypolyoxyethylene,adjuvant,,,,,
Alkylphenyl-hydroxypolyoxyethylene,adjuvant,,,,,
Allyloxypolyethylene Glycol Methyl Ether,adjuvant,,,,,
alpha-cypermethrin,insecticide,26.66666667,,,3A,
Ametoctradin,fungicide,16.66666667,45,,,
Amisulbrom,fungicide,15.5,21,,,
Ammonium laureth sulfate,adjuvant,,,,,
Ammonium Sulfate,adjuvant,,,,,
Ammonium Sulfate and Dimethylpolysiloxane,adjuvant,,,,,
Ammonium Sulphate,adjuvant,,,,,
Anthrobacter globiforms,adjuvant,0,,,,
Antidrift agent,adjuvant,,,,,
Avermectin,insecticide,,,,6,
Azadirachtin,insecticide,12.1,,,UN,
Azinphos-methyl,insecticide,53.05,,,1B,
Azoxystrobin,fungicide,26.92333333,11,,,
Bacillus amyloliquefaciens strain D747,fungicide,0,BM02,,,
Bacillus amyloliquefaciens strain ENV503,fungicide,0,BM02,,,
Bacillus amyloliquefaciens subspecies plantarum strain FZB42,fungicide,0,BM02,,,
Bacillus chitinosporus,adjuvant,0,,,,
Bacillus firmus I-1582,adjuvant,,,,,
Bacillus licheniformis,adjuvant,7.33,,,,
Bacillus Mix,adjuvant,10.31,,,,
Bacillus mycoides isolate J,fungicide,0,P06,,,
Bacillus subtilis strain QST 713,fungicide,10.28333333,BM02,,,
Bacillus subtillis strain FZB24,fungicide,10.28333333,BM02,,,
Bacillus thuringiensis,insecticide,13.32666667,,,11A,
Bacillus thuringiensis strain EVB113-19,insecticide,13.32666667,,,11A,
Bacillus thuringiensis strain SA-12,insecticide,13.32666667,,,11A,
Bacillus velezensis,fungicide,,BM02,,,
Basic copper sulfate,fungicide,67.66666667,M01,,,
Beauveria bassiana,insecticide,0,,,UNF,
Bentazone,herbicide,19.33,,6,,
Benthiavalicarb,fungicide,41.67,40,,,
Benthiavalicarb-isopropyl,fungicide,41.67,40,,,
Benzethonium Chloride,adjuvant,,,,,
Benzovindiflupyr,fungicide,19.33333333,7,,,
Beta-cyfluthrin,insecticide,31.56666667,,,3A,
Bifenazate,insecticide,28.1,,,20D,acaricide
Bifenthrin,insecticide,44.35,,,3A,acaricide
Boscalid,fungicide,26.44166667,7,,,
Broflanilide,insecticide,0,,,30,
Burkholderia spp strain A396,insecticide,0,,,UNB,
Calcium Chloride,adjuvant,,,,,
Calcium Oxide,adjuvant,0,,,,
Calcium Silicate,adjuvant,0,,,,
Capric Acid,herbicide,0,,n/a,,
Capsaicin,rodenticide,0,,,,
Carbaryl,insecticide,22.73333333,,,1A,
Carbofuran,insecticide,50.66666667,,,1A,
Carboxylated Styrene/butadiene Co-polymer Solid,adjuvant,,,,,
Carfentrazone,herbicide,27.33,,14,,
Carfentrazone-ethyl,herbicide,27.33,,14,,
Chitosan,adjuvant,0,,,,
Chitosan hydrochloride,adjuvant,0,,,,
Chlorantraniliprole,insecticide,18.33666667,,,28,
Chlorine dioxide,sanitizer,,,,,
Chloropicrin,fumigant,42.43333333,,,8B,
Chlorothalonil,fungicide,37.41666667,M05,,,
Chlorpropham,herbicide,30.58,,23,,
Chlorpyrifos,insecticide,26.85,,,1B,
Chromobacterium subtsugae strain PRAA4-1,insecticide,0,,,UNB,
Clethodim,herbicide,17,,1,,
Clomazone,herbicide,19.63,,13,,
Clothianidin,insecticide,32.06333333,,,4A,
Clove Oil,fungicide,,BM01,,,
Coniothyrium minitans,fungicide,,BM02,,,
Coniothyrium minitans strain CON/M/91-08,fungicide,0,BM02,,,
Copper,fungicide,62,M01,,,
Copper hydroxide,fungicide,33.2,M01,,,
Copper oxide,fungicide,62,M01,,,
Copper Oxychloride,fungicide,29.8,M01,,,
Copper sulfate,fungicide,61.9,M01,,,
Copper sulfate pentahydrate,fungicide,69.83,M01,,,
Copper Sulphate,fungicide,61.9,M01,,,
Copper tallate,fungicide,,M01,,,
Cryolite,insecticide,20.155,,,8C,
Cryomazine,insecticide,0,,,17,
Cyantraniliprole,insecticide,14.67,,,28,
Cyazofamid,fungicide,15.33333333,21,,,
Cycloxydim,herbicide,19.33,,1,,
Cyfluthrin,insecticide,31.56666667,,,3A,
Cyhalothrin,insecticide,44.17,,,3A,
Cyhalothrin-lambda,insecticide,44.16666667,,,3A,
Cymoxanil,fungicide,35.48,27,,,
Cypermethrin,insecticide,36.35,,,3A,
Cytokinin,pgr,,,,,
DCPA,herbicide,15.43333333,,3,,
Deltamethrin,insecticide,28.38333333,,,3A,
Di-1-p-menthene,adjuvant,,,,,
Diazinon,insecticide,44.03333333,,,1B,
Diemethly-siloxame,adjuvant,,,,,
Difenoconazole,fungicide,22,3,,,
Diflufenican,herbicide,,,12,,
Dimethenamid-P,herbicide,10,,15,,
Dimethoate,insecticide,33.49,,,1B,
Dimethomorph,fungicide,14,40,,,
Dinotefuran,insecticide,22.26,,,4A,
Diquat,herbicide,44,,22,,
Disulfoton,insecticide,101.83,,,1B,
EAC 1,adjuvant,,,,,
EAC 2,adjuvant,,,,,
Elemental Copper,fungicide,62,M01,,,
Endosulfan,insecticide,38.55,,,2A,
Endothall,herbicide,25.224,,31,,
EPTC,herbicide,9.433333333,,15,,
Esfenvalerate,insecticide,39.56666667,,,3A,
Esterified Rapeseed Oil,adjuvant,,,,,
Ethaboxam,fungicide,17.66666667,22,,,
Ethalfluralin,herbicide,23.33,,3,,
Ethanol,fuel for ethylene generator,,,,,
Ethoprop,insecticide,43.21,,,1B,nematicide
Ethoxlyated Tallow Amine,adjuvant,,,,,
Ethoxylated Alkyl Phenols,adjuvant,,,,,
Ethoxylated Castor Oil,adjuvant,,,,,
"Ethoxylated soybean oil,",adjuvant,,,,,
Ethoxylated Tallow Amine,adjuvant,,,,,
Ethylated seed oil,adjuvant,,,,,
Ethylene,pgr,,,,,
Ethylene Oxide Condensate,adjuvant,,,,,
ethylene oxide-propylene oxide copolymers,adjuvant,,,,,
Famoxadone,fungicide,10.36333333,11,,,
fatty acid methyl esters,adjuvant,,,,,
Fatty acids,adjuvant,,,,,
Fatty acids: pelargonic acid,herbicide,15.33,,0,,
fatty alcohol ethylene oxide condensate,adjuvant,,,,,
Fenamidone,fungicide,18.29333333,11,,,
Fenoxaprop-p-ethyl,herbicide,43.66666667,,1,,
Ferric phosphate,molluschicide,10.66666667,,,,
Fipronil,insecticide,88.25,,,2B,
Flonicamid,insecticide,8.666666667,,,29,
Fluazifop-p-butyl,herbicide,28.70833333,,1,,
Fluazinam,fungicide,23.33333333,29,,,
Fludioxonil,fungicide,23.865,12,,,
Flufenacet,herbicide,11.33333333,,15,,
Flumioxazin,herbicide,23.97,,14,,
Fluopicolide,fungicide,26,43,,,
Fluopyram,fungicide,17.83,7,,,also a nematicide
Fluoxastrobin,fungicide,56.175,11,,,
Flupyradifurone,insecticide,28.67,,,4D,
Flutolanil,fungicide,23.06666667,7,,,
Fluxapyroxad,fungicide,16,7,,,
Fomesafen,herbicide,24.455,,14,,
Fosthiazate,insecticide,17.04,,,1B,nematicide
Fulvic Acid,adjuvant,,,,,
GABA,pgr,0,,,,
Garlic,insecticide,0,,,n/a,
Gibberellic acid,pgr,10.17,,,,
Glucoethers,adjuvant,,,,,
Gluconacetobacter diazotrophicus,adjuvant,0,,,,
Glufosinate ammonium,herbicide,20.2,,10,,
Glufosinate-ammonium,herbicide,20.2,,10,,
Glyphosate,herbicide,15.33,,9,,
Growth Stimulants,pgr,,,,,
Gypsum,adjuvant,,,,,
Harpin protein,elicitant,,BM02,,UNB,
Heptamethyl Trisiloxane,adjuvant,,,,,
Hexythiazox,insecticide,33,,,10A,acaricide
Humic Acids,adjuvant,0,,,,
Hydrogen dioxide,sanitizer,16,,,,
Hydrogen peroxide,sanitizer,16,,,,
Imazalil,fungicide,24.56666667,3,,,
Imidacloprid,insecticide,36.71,,,4A,
Indole acetic acid,pgr,,,,,
Indole butyric acid,pgr,,,,,
Indoxacarb,insecticide,31.19,,,22A,
Iprodione,fungicide,24.24833333,2,,,
Isoparaffinic hydrocarbons,adjuvant,,,,,
Kaolin,insecticide,8,,,UNM,
Kinetin,pgr,,,,,
Lambda-cyhalothrin,insecticide,44.16666667,,,3A,
Laminarin,fungicide,,P04,,,
Ledprona,insecticide,0,,,35,
L-Glutamic acid,pgr,,,,,
linear alcohol surfactant,adjuvant,,,,,
Linuron,herbicide,19.32,,5,,
Malathion,insecticide,23.83333333,,,1B,
Maleic hydrazide,pgr,26.03333333,,,,
Maltodextrin,insecticide,,,,n/a,
Mancozeb,fungicide,25.72,M03,,,
Mandipropamid,fungicide,27.14166667,40,,,
Maneb,fungicide,21.43333333,M03,,,
Mefenoxam,fungicide,13.16666667,4,,,
Mefenoxam (foliar),fungicide,13.16666667,4,,,
Mefenoxam (soil),fungicide,13.16666667,4,,,
Mefentrifluconazole,fungicide,25.33,3,,,
Metalaxyl,fungicide,13.16666667,4,,,
Metalaxyl-M,fungicide,19.06666667,4,,,
Metaldehyde,molluschicide,8,,,,
Metam Sodium,fumigant,26.59166667,,,8F,
Metam-potassium,fumigant,25.17,,,8F,
Metam-sodium,fumigant,26.59166667,,,8F,
Metconazole,fungicide,24,3,,,
Methamidophos,insecticide,36.83333333,,,1B,
Methomyl,insecticide,22,,,1A,
Methyl esters of canola oil,adjuvant,,,,,
Methyl Esters Of Soybean Fatty Acids,adjuvant,,,,,
Methyl parathion,insecticide,25.96666667,,,1B,
Methyl soyate,adjuvant,,,,,
Methylated Rapeseed Oil,adjuvant,,,,,
Methylated seed oil,adjuvant,,,,,
Methylated Soya Bean Oil,adjuvant,,,,,
Methylated Soybean Oil,adjuvant,,,,,
Methylated Vegetable Oil,adjuvant,,,,,
Metiram,fungicide,40.61111111,M03,,,
Metobromuron,herbicide,11.67,,5,,
Metolachlor,herbicide,22,,15,,
Metribuzin,herbicide,28.36666667,,5,,
Mineral oil,insecticide,30.09,,,UNM,
mixed fatty acid esters of seed oil and n-butanol,adjuvant,,,,,
Modified Heptamethyl Trisiloxane,adjuvant,,,,,
Modified Soya Lecithin,adjuvant,,,,,
"Modified Soya Lecithin, Propionic Acid",adjuvant,,,,,
modified trisiloxane organosilicone copolymers,adjuvant,,,,,
Modified vegetable oil,adjuvant,,,,,
"Monocarbamide dihydrogen sulfate, alkyl amine ethoxylate, 1,2,3-trihydroxypropan",adjuvant,,,,,
mycorrhizae,adjuvant,,,,,
N-(n-butyl) thiophosphoric triamide,adjuvant,,,,,
"N-(n-butyl)-thiophosphoric triamide (NBPT),",adjuvant,,,,,
Natural Fatty Acids,adjuvant,,,,,
Neem oil,insecticide,0,,,UNE,
nitrogen,fertilizer,,,,,
Non-Ionic Liquid Wetting Agent,adjuvant,,,,,
Nonylphenol Ethoxylates,adjuvant,,,,,
Nonylphenol Ethylene Oxide Condensate,adjuvant,,,,,
Nonylphenoxy polyethoxyethanol,adjuvant,,,,,
Novaluron,insecticide,14.33333333,,,15,
Nuclear polyhedrosis virus,insecticide,0,,,31,
Oil,adjuvant,,,,,
Orange oil,pgr,,,,,
Oxamyl,insecticide,33.32833333,,,1A,nematicide
Oxathiapiprolin,fungicide,19.33,49,,,
Oxyfluoren,herbicide,33.81666667,,14,,
Ozone,fungicide,,n/a,,,
Paecilomyces lilacinus strain 251,adjuvant,,,,,
Paraffin Base Petroleum Oil,adjuvant,,,,,
Paraffin Wax,adjuvant,,,,,
Paraffinic Oil,adjuvant,,,,,
Paraffinic Petroleum Oil,adjuvant,,,,,
Paraquat,herbicide,24.73,,22,,
Pelargonic acid,herbicide,15.33,,0,,
Pendimethalin,herbicide,30.17,,3,,
Penflufen,fungicide,38,7,,,
Pentachloronitrobenzene,fungicide,22.83,14,,,
Penthiopyrad,fungicide,26.75,7,,,
Permethrin,insecticide,29.33333333,,,3A,
Peroxyacetic acid,fungicide,,n/a,,,
petroleum (paraffin) oils,adjuvant,,,,,
Petroleum Hydrocarbons,adjuvant,,,,,
Phorate,insecticide,48.83,,,1B,
Phosmet,insecticide,32.81833333,,,1B,
Phosphate,fertilizer,,,,,
Phosphate Ester,adjuvant,,,,,
Phosphatidylcholine,adjuvant,,,,,
Phosphoric acid,adjuvant,,,,,
"phosphoric and carboxylic acids, sulphurated amides",adjuvant,,,,,
Phosphorous Acid,fungicide,7.333333333,P07,,,
Piperonyl butoxide,adjuvant,25.77166667,,,,
Poly-1-p-menthene,adjuvant,,,,,
Polyacrylamide,adjuvant,,,,,
Polyalklene Oxide Modified Heptamethyl Trisiloxane,adjuvant,,,,,
Polyalkylene Oxide,adjuvant,,,,,
Polyalkylene Oxide Modified,adjuvant,,,,,
Polyalkyleneoxide Modified Heptamethyltrisiloxane,adjuvant,,,,,
polyether-modified trisiloxane; synthetic latex solution (73 % w/v),adjuvant,,,,,
Polyethoxylated Tallow Amine,adjuvant,,,,,
Polyethoxylated Tallow Amine 15eo,adjuvant,,,,,
Polyglycol Ether,adjuvant,,,,,
polymeric polyhydroxy acids,adjuvant,,,,,
polymeric terpene coating agent,adjuvant,,,,,
Polyoxethylene (5-7eo) C10-c15 Primary Alcohol (19 % w/w),adjuvant,,,,,
Polyoxyethelene fatty acids,adjuvant,,,,,
Polyoxyethylene,adjuvant,,,,,
Polyoxyethylene (10 EO),adjuvant,,,,,
Polyoxyethylene (15 Eo) C12-c14 Coco Amine,adjuvant,,,,,
Polyoxyethylene (20) Sorbitan Monolaurate,adjuvant,,,,,
polyoxyethylene (2-3EO)-polyoxypropylene (10-12PO),adjuvant,,,,,
Polyoxyethylene (5-7 Eo) C9-c11 Primary Alcohol,adjuvant,,,,,
polyoxyethylene (5-7EO) C10-C15 primary alcohol,adjuvant,,,,,
Polyoxyethylene (5-8 EO) C10-C15 primary alcohol,adjuvant,,,,,
Polyoxyethylene (5-8eo) c10-c15 Primary Alcohol,adjuvant,,,,,
Polyoxyethylene (5-c10-c15 Primary Alcohol,adjuvant,,,,,
Polyoxyethylene (8-12 Eo) c9-c11 Primary Alcohol,adjuvant,,,,,
polyoxyethylene alcohols,adjuvant,,,,,
Polyoxyethylene C12-c15 Primary Alcohol,adjuvant,,,,,
polyoxyethylene disiloxyanyl propylether,adjuvant,,,,,
Polyoxyethylene Monolaurate,adjuvant,,,,,
Polyoxyethylene Polypropoxy Propanol,adjuvant,,,,,
Polyoxyethylene Rapeseed Fatty Acid Triglyceride,adjuvant,,,,,
"Polyoxyethylene sorbitan fatty acid ester, soybean oil ethoxylate, copolymer of",adjuvant,,,,,
Polyoxyethylene Sorbitan Monolaurate,adjuvant,,,,,
Polyoxyethylene Tallow Amine,adjuvant,,,,,
Polyoxyethylene(5-7 Eo) C9-c11 Primary Alc (375 g/l); Natural Fatty Acids (50 g/,adjuvant,,,,,
Polyoxyethylene/polyoxypropylene Block Copolymer,adjuvant,,,,,
polyoxyethylene-alpha-methyl-alpha-propylether,adjuvant,,,,,
Polyoxyethylen-methyl,adjuvant,,,,,
Polyoxypropylene; Polyoxyethylene (12eo),adjuvant,,,,,
Polyoxypropylene-polyoxyethylene Glycol,adjuvant,,,,,
polypropylene Glyco,adjuvant,,,,,
Polysiloxane polyether copolymer,adjuvant,,,,,
Polyvinyl alcohol,adjuvant,,,,,
Potash,adjuvant,8.5,,,,
Potassium,fertilizer,,,,,
Potassium bicarbonate,fungicide,8,n/a,,,
Potassium N-methyldithiocarbamate,insecticide,25.17,,,8F,
Potassium phosphite,fungicide,8.67,P07,,,
potassium phosphonates,fungicide,,P07,,,
Potassium salts of fatty acids,insecticide,19.45,,,n/a,
Potassium silicate,fungicide,0,n/a,,,
Propamocarb hydrochloride,fungicide,23.885,28,,,
Propaquizafop,herbicide,43,,1,,
Propargite,insecticide,68.66666667,,,12C,acaricide
Propionic Acid,adjuvant,,,,,
Propionic acid ammonium salt,adjuvant,,,,,
"Proprietary blend of the ammonium salts of polyacrylic, hydroxy carboxylic and p",adjuvant,,,,,
Prosulfocarb,herbicide,22.833,,15,,
Protein-polysaccharide complex,pgr,,,,,
Prothioconazole,fungicide,13.5,3,,,
Pseudomonas chlororaphis strain AFS009,fungicide,0,BM02,,,
Pseudomonas fluorescens A506,fungicide,,BM02,,,
Pseudomonas sp. Strain DSMZ 13134,fungicide,,BM02,,,
Pseudomonas syringae,fungicide,,BM02,,,
Purpureocillium lilacinum strain PL11,insecticide,,,,UNB,
Pydiflumetofen,fungicide,16,7,,,
Pymetrozine,insecticide,19.56666667,,,9B,
Pyraclostrobin,fungicide,27.00666667,11,,,
Pyraflufen ethyl,herbicide,24.5,,14,,
Pyraflufen-ethyl,herbicide,24.5,,14,,
Pyrethrin,insecticide,37.12166667,,,3A,
Pyrifluquinazon,insecticide,0,,,9B,
Pyrimethanil,fungicide,12.66666667,9,,,
Pyroxasulfone,herbicide,12.33,,15,,
Quillaja Extract,insecticide,,,,UNE,
Quizalofop-ethy,herbicide,22.13666667,,1,,
Quizalofop-ethyl,herbicide,22.13666667,,1,,
Quizalofop-P-ethyl,herbicide,22.13666667,,1,,
Quizalofop-P-tefuryl,herbicide,23.33,,1,,
rapeseed fatty acid esters,adjuvant,,,,,
Rapeseed Oil,adjuvant,,,,,
Rapeseed Oil Or Soya Oil,adjuvant,,,,,
Refined Paraffinic Petroleum Oil,adjuvant,,,,,
Refined Petroleum Oil,adjuvant,,,,,
Reynoutria sachalinensis,fungicide,,P05,,,
Rimsulfuron,herbicide,15.84,,2,,
Rotenone,insecticide,29.43333333,,,21B,
"Saccharides, alkyl polyglucoside, ammonium sulfate",adjuvant,,,,,
Saponins of Chenopodium quinoa,fungicide,0,BM01,,,
Secondary alcohol ethoxylate and sodium lauryl ether sulfate,adjuvant,,,,,
Sedaxane,fungicide,19.17,7,,,
Sethoxydim,herbicide,20.88833333,,1,,
Silicon Dioxide,adjuvant,,,,,
Silicon dioxide and humic acid,adjuvant,,,,,
S-metolachlor,herbicide,15.07,,15,,
Sodium chlorate,herbicide,34.78516667,,n/a,,
Sodium hypochlorite,fungicide,60.53066667,n/a,,,
Sodium Lauryl Ether Sulfate,adjuvant,,,,,
Sodium Tetraborohydrate Decahydrate,insecticide,0,,,8D,
Soil bacteria,adjuvant,0,,,,
Sorbiton Ester,adjuvant,,,,,
Spearmint oil,pgr,,,,,
Spinetoram,insecticide,27.775,,,5,
Spinosad,insecticide,14.38333333,,,5,
Spiromesifen,insecticide,27.925,,,23,acaricide
Spirotetramat,insecticide,35.29,,,23,acaricide
Streptomycin,fungicide,45.00233333,25,,,
Styrene-butadiene Co-polymer,adjuvant,,,,,
Sulfentrazone,herbicide,11.73333333,,14,,
Sulfosate,herbicide,26.66666667,,9,,
Sulfoxaflor,insecticide,18.83,,,4C,
Sulfur,fungicide,32.66,M02,,,
Sulfur Dust,fungicide,32.66,M02,,,
Sulfuric Acid,herbicide,0,,n/a,,
Surfactant blend,adjuvant,,,,,
Synthetic Latex,adjuvant,,,,,
synthetic latex solution,adjuvant,,,,,
Tallow Amine Ethoxylate,adjuvant,,,,,
Tea Tree Oil,fungicide,,BM01,,,
Terpenic Alcohols,adjuvant,,,,,
Tetraniliprole,insecticide,,,,28,
Thiabendazole,fungicide,31.04,1,,,
Thiamethoxam,insecticide,33.29833333,,,4A,
Thiamethoxam (foliar),insecticide,33.29833333,,,4A,
Thiamethoxam (seed),insecticide,33.29833333,,,4A,
Thiamethoxam (soil),insecticide,33.29833333,,,4A,
Thiophanate-methyl,fungicide,23.81666667,1,,,
Thyme Oil,fungicide,0,BM01,,,
tisiloxane organosilcone copolymers,adjuvant,,,,,
Tolfenpyrad,insecticide,27.33333333,39,,21,
Trichoderma harzianum Rifai strain T-22*..,fungicide,0,BM02,,,
Trifloxystrobin,fungicide,29.78,11,,,
Trifluralin,herbicide,18.83,,3,,
Trinexapac-ethyl,pgr,19.03,,,,
Triphenyltin hydroxide,fungicide,72.94,30,,,
trisiloxane organosilcone copolymers,adjuvant,,,,,
trisiloxane organosilicone copolymers,adjuvant,,,,,
uptake agent,adjuvant,,,,,
Urea â€“ Ammonium nitrate,fertilizer,,,,,
Valifenalate,fungicide,10.16666667,40,,,
Vegetable Oil Ethoxylates,adjuvant,,,,,
Verimcompost,amendment,,,,,
Worm Cast,amendment,,,,,
Zeta-cypermethrin,insecticide,26.5,,,3A,
Zinc Phosphide,rodenticide,18,,,,
Zoxamide,fungicide,22.36666667,22,,,
